#,Categoria,Nome_do_taxon_(com_autoria),Nome_em_Portugues,English_Name,estrada_(mata_+_comunidade)___Vasante,FOAD_Vasante,B._sonhos_vasante,Sia_mariana__corixo_Leme__vasante,Corixo_Leme_vasante,Rio_III_vasante,RioII_vasante,Rio_I_vasante,Mane_Isaque_vasante,Sia_Mariana__Mutum_vasante,Rio_Mutum_vasante,Corixo_do_Mato_vasante,Chacorore__vasante,Total_1º_coleta/_Vazante,estrada_(mata_+_comunidade)_seca,FOAD_seca,B._sonhos_seca,Sia_Mariana__corixo_do_leme_seca,Corixo_Leme_seca,Rio_III_seca,_Rio_II_seca,Rio_I_seca,Mane_Isaque_seca,Sia_Mariana__Mutum_seca,Rio_Mutum_seca,Corixo_do_Mato_seca,Chacorore_seca,Total_2º_coleta/_Seca,estrada_(mata_+_comunidade)_enchente,FOAD_enchente,B._sonhos_enchente,Sia_Mariana___Corixo_do_Leme_enchente,Corixo_Leme_enchente,Rio_III_enchente,Rio_II_enchente,Rio_I_enchente,Mane_Isaque_enchente,Sia_Mariana__Mutum_enchente,Rio_Mutum_enchente,Corixo_do_Mato_enchente,Chacorore_enchente,Total_3º_coleta/_enchente,estrada_(mata_+_comunidade)_cheia,FOAD_cheia,B._sonhos_cheia,Sia_Mariana___Corixo_do_leme_cheia,Corixo_Leme_cheia,Rio_III_cheia,Rio_II_cheia,Rio_I_cheia,Mane_Isaque_cheia,Sia_Mariana__Mutum_cheia,Rio_Mutum_cheia,Corixo_do_Mato_cheia,Chacorore_cheia,Total_4º_coleta/_Cheia,
51,Especie,Himantopus_melanurus_Vieillot_1817,pernilongo_de_costas_brancas,White_backed_Stilt,,1,19,,,,,,,8,,13,1,42,,,,,,,,,,41,,,5,46,,,27,,,,,,,,,,,27,,,10,,,,,,,,,,,10,125
,Familia,Scolopacidae_Rafinesque_1815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Subfamilia,Tringinae_Rafinesque_1815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Genero,Tringa_Linnaeus_1758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Especie,Tringa_solitaria_Wilson_1813,macarico_solitario,Solitary_Sandpiper,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,1,,,,,2,,,,,,3,,,1,,,,,,,,,,,1,4
53,Especie,Tringa_melanoleuca_(Gmelin_1789),macarico_grande_de_perna_amarela,Greater_Yellowlegs,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,1,,,,,,,,,,,1,,,2,,,,,,,,,,,2,3
54,Especie,Tringa_flavipes_(Gmelin_1789),macarico_de_perna_amarela,Lesser_Yellowlegs,,,68,,,,,,,,,,,68,,,,,,,,,,,,,,0,,,5,,,,,,,,,,,5,,,1,,,,,,,,,,,1,74
,Familia,Jacanidae_Chenu_&_Des_Murs_1854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Genero,Jacana_Brisson_1760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Especie,Jacana_jacana_(Linnaeus_1766),jacana,Wattled_Jacana,,,2,,,,,,,3,1,,10,16,,1,,,,,,2,,11,7,,10,31,,,18,,,2,,2,,3,15,0,5,45,,,4,,,,,,,,11,,,15,107
,Familia,Laridae_Rafinesque_1815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Subfamilia,Rynchopinae_Bonaparte_1838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Genero,Rynchops_Linnaeus_1758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Especie,Rynchops_niger_Linnaeus_1758,talha_mar,Black_Skimmer,,,294,5,,,,62,,63,1,16,,441,,,,,,,,10,,1,,,,11,,,2,,,,,,,,,,,2,,,,,,,,,,,,,,0,454
,Subfamilia,Sterninae_Vigors_1825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Genero,Sternula_Boie_1822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,Especie,Sternula_superciliaris_(Vieillot_1819),trinta_reis_pequeno,Yellow_billed_Tern,,,75,,,2,,2,3,39,,,,121,,1,,,,,1,1,,,5,,,8,,1,3,,1,,,,,,1,,,6,,1,1,4,,,,,,2,14,,,22,157
,Genero,Phaetusa_Wagler_1832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,Especie,Phaetusa_simplex_(Gmelin_1789),trinta_reis_grande,Large_billed_Tern,,,267,1,,,3,24,10,75,2,72,1,455,,6,,,,,,5,,16,3,,,30,,,68,5,,,,7,,,,,,80,,,,,,,,1,,,,,,1,566
,Ordem,Eurypygiformes_Fürbringer_1888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Familia,Eurypygidae_Selby_1840,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Genero,Eurypyga_Illiger_1811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,Especie,Eurypyga_helias_(Pallas_1781),pavaozinho_do_para,Sunbittern,,,,,,,,,,,,,,0,,,,,,,,1,,,2,,,3,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,3
,Ordem,Ciconiiformes_Bonaparte_1854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Familia,Ciconiidae_Sundevall_1836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Genero,Ciconia_Brisson_1760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Especie,Ciconia_maguari_(Gmelin_1789),maguari,Maguari_Stork,,,,,,,,,,,,,3,3,,,,,,,,,,,,,7,7,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,10
,Genero,Jabiru_Hellmayr_1906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,Especie,Jabiru_mycteria_(Lichtenstein_1819),tuiuiu,Jabiru,,2,,1,,,1,,,,1,,,5,,,3,,,,,,2,,,,5,10,,,2,,,,,,,2,,0,1,5,,,,,,,,,,,,,,0,20
,Genero,Mycteria_Linnaeus_1758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,Especie,Mycteria_americana_Linnaeus_1758,cabeca_seca,Wood_Stork,,,,,,,3,4,2,,,18,,27,96,1,,2,2,7,,,,,,,,108,1,,1,,,,1,,,,2,,,5,,,,,,,,,,,,,,0,140
,Ordem,Suliformes_Sharpe_1891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Familia,Anhingidae_Reichenbach_1849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Genero,Anhinga_Brisson_1760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,Especie,Anhinga_anhinga_(Linnaeus_1766),biguatinga,Anhinga,,,,7,2,2,4,3,19,,3,31,1,72,,2,,,1,6,2,8,4,,,,1,24,,,,,2,2,5,3,3,4,4,2,,25,,,,,,3,1,1,2,,2,,,9,130
,Familia,Phalacrocoracidae_Reichenbach_1849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Genero,Nannopterum_Sharpe_1899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,Especie,Nannopterum_brasilianum_(Gmelin_1789),bigua,Neotropic_Cormorant,,1,14,7,20,2,6,7,6,211,16,103,1,394,,2,,,,,21,3,5,4,9,,2,46,,,2,2,,,3,1,,13,3,15,,39,,,13,,,2,5,1,7,1,13,6,,48,527
,Ordem,Pelecaniformes_Sharpe_1891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Familia,Ardeidae_Leach_1820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Genero,Tigrisoma_Swainson_1827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,Especie,Tigrisoma_lineatum_(Boddaert_1783),soco_boi,Rufescent_Tiger_Heron,,,,,1,,,,1,,6,15,1,24,,,,,,,2,1,,,5,,1,9,,,,,,,1,,1,1,3,2,,8,,,,,,,,,,1,6,,,7,48
,Genero,Cochlearius_Brisson_1760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,Especie,Cochlearius_cochlearius_(Linnaeus_1766),arapapa,Boat_billed_Heron,,,,,,,,5,,,,,,5,,,,,,,,,,,,,,0,,,,,,,6,,,,,,,6,,,,,,,,,,,,,,0,11
,Genero,Botaurus_Stephens_1819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,Especie,Botaurus_pinnatus_(Wagler_1829),soco_boi_baio,Pinnated_Bittern,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,0,1
,Genero,Nycticorax_Forster_1817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,Especie,Nycticorax_nycticorax_(Linnaeus_1758),soco_dorminhoco,Black_crowned_Night_Heron,,,,,,,22,,1,,,17,,40,,,,2,,,,6,,,,,,8,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,48
,Genero,Butorides_Blyth_1852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,Especie,Butorides_striata_(Linnaeus_1758),socozinho,Striated_Heron,,,,,,,1,,8,,12,65,,86,,,,1,2,1,3,7,6,,7,,,27,,,,,,,2,1,3,,6,3,,15,,,,1,1,1,1,,3,,10,,,17,145
,Genero,Bubulcus_Bonaparte_1855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,Especie,Bubulcus_ibis_(Linnaeus_1758),garca_vaqueira,Cattle_Egret,,,,,,,,,2,,,,3,5,,,,,,,,1,,2,,,4,7,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,0,13
,Genero,Ardea_Linnaeus_1758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,Especie,Ardea_cocoi_Linnaeus_1766,garca_moura,Cocoi_Heron,,1,,5,6,2,11,1,6,4,9,35,2,82,,3,2,3,,9,12,8,3,7,4,,,51,,1,3,5,2,2,7,3,,18,15,2,2,60,,,1,2,1,,,2,,4,5,,8,23,216
72,Especie,Ardea_alba_Linnaeus_1758,garca_branca_grande,Great_Egret,,1,1,7,,1,12,8,4,6,3,40,1,84,,,,1,,,12,1,,1,,,1,16,,,4,3,,2,2,2,,5,1,1,1,21,,,53,,,3,1,2,3,1,7,,,70,191
,Genero,Syrigma_Ridgway_1878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,Especie,Syrigma_sibilatrix_(Temminck_1824),maria_faceira,Whistling_Heron,,,3,,,,,1,,,,,,4,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,1,,,,,,,,,,,1,5
,Genero,Pilherodius_Reichenbach_1853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,Especie,Pilherodius_pileatus_(Boddaert_1783),garca_real,Capped_Heron,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,0,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,0,2
,Genero,Egretta_Forster_1817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,Especie,Egretta_thula_(Molina_1782),garca_branca_pequena,Snowy_Egret,,,1,3,2,3,2,,2,4,11,37,,65,,,,,,,,7,,1,,,,8,,,,,,,,,,5,1,,,6,,,3,,,,,2,1,15,,,,21,100
76,Especie,Egretta_caerulea_(Linnaeus_1758),garca_azul,Little_Blue_Heron,,1,1,,,,,,4,1,2,,,9,,,,,,,,,,1,,,,1,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,0,11
,Familia,Threskiornithidae_Poche_1904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Genero,Plegadis_Kaup_1829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,Especie,Plegadis_chihi_(Vieillot_1817),carauna,White_faced_Ibis,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,0,1
,Genero,Mesembrinibis_Peters_1930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,Especie,Mesembrinibis_cayennensis_(Gmelin_1789),coro_coro,Green_Ibis,,,6,,,,,,,,,,1,7,,,,,,,76,1,,,,,15,92,,,3,,,,,3,1,1,1,,,9,,,,,,,,,,,3,,,3,111
,Genero,Phimosus_Wagler_1832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,Especie,Phimosus_infuscatus_(Lichtenstein_1823),tapicuru,Bare_faced_Ibis,,,80,,,,1,,,3,,12,2,98,,,,,,,15,,,12,,,16,43,,,1,,,,3,,,,,,,4,,,,,,,,,,,1,,,1,146
,Genero,Theristicus_Wagler_1832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,Especie,Theristicus_caerulescens_(Vieillot_1817),curicaca_real,Plumbeous_Ibis,,,,,,,,,,,,,,0,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,0,,,,,,,,1,,,,,,1,3
81,Especie,Theristicus_caudatus_(Boddaert_1783),curicaca,Buff_necked_Ibis,,3,14,,,,7,1,,2,,,2,29,1,2,2,,,,6,,,4,,,2,17,2,,,,,,,,,,2,,2,6,,,12,,,,4,,,,,,,16,68
,Genero,Platalea_Linnaeus_1758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,Especie,Platalea_ajaja_Linnaeus_1758,colhereiro,Roseate_Spoonbill,,,7,,,,1,,2,,2,32,,44,,,,,,,34,,,,,,,34,,,44,,,,,,,,,,1,45,,,,,,,,,,,,,,0,123
,Ordem,Cathartiformes_Seebohm_1890,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Familia,Cathartidae_Lafresnaye_1839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Genero,Coragyps_Le_Maout_1853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,Especie,Coragyps_atratus_(Bechstein_1793),urubu_preto,Black_Vulture,,2,1,3,,2,42,44,10,3,16,,103,226,,2,41,,3,9,51,97,4,,,,6,213,1,,4,,5,14,2,4,3,,31,,2,66,,,,4,2,93,6,14,5,,3,,12,139,644
,Genero,Cathartes_Illiger_1811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,Especie,Cathartes_aura_(Linnaeus_1758),urubu_de_cabeca_vermelha,Turkey_Vulture,,,,,,,,,1,,7,,,8,,1,,,,,1,,,,1,,5,8,,,,,,,,1,,1,,,,2,,,,,,4,,,,,1,,,5,23
85,Especie,Cathartes_burrovianus_Cassin_1845,urubu_de_cabeca_amarela,Lesser_Yellow_headed_Vulture,,2,,,,,2,,2,,,,,6,,,,,,,2,1,,,,,1,4,,,,,,,,,2,1,10,,1,14,,,,,1,2,,,,,,,,3,27
,Ordem,Accipitriformes_Bonaparte_1831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Familia,Pandionidae_Bonaparte_1854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Genero,Pandion_Savigny_1809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,Especie,Pandion_haliaetus_(Linnaeus_1758),aguia_pescadora,Osprey,,,,,,,,1,,,,,,1,,,,,,,,3,,,1,,,4,,,,1,,,,,,1,,,,2,,,,,,,,,,,,,,0,7
,Familia,Accipitridae_Vigors_1824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Subfamilia,Accipitrininae_Vigors_1824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Genero,Busarellus_Lesson_1843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,Especie,Busarellus_nigricollis_(Latham_1790),gaviao_belo,Black_collared_Hawk,,,,,,,,,,,2,1,1,4,,,,,,,1,,1,,2,,,4,1,,,,,,,1,,,3,,1,6,,,,1,,,1,,,,4,,,6,20
,Genero,Rostrhamus_Lesson_1830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,Especie,Rostrhamus_sociabilis_(Vieillot_1817),gaviao_caramujeiro,Snail_Kite,,1,,,,,2,,3,,,2,1,9,,,,,,,,,,,,,,0,,,,,,1,,,2,,,,,3,,,,,,,,,,,,,,0,12
,Genero,Harpagus_Vigors_1824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,Especie,Harpagus_diodon_(Temminck_1823),gaviao_bombachinha,Rufous_thighed_Kite,,,,,,,,2,,,,,,2,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,2
,Genero,Circus_Lacepède_1799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,Especie,Circus_buffoni_(Gmelin_1788),gaviao_do_banhado,Long_winged_Harrier,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,0,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,0,2
,Genero,Geranospiza_Kaup_1847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,Especie,Geranospiza_caerulescens_(Vieillot_1817),gaviao_pernilongo,Crane_Hawk,,,,,,,,,,,,,,0,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,1
,Genero,Heterospizias_Sharpe_1874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,Especie,Heterospizias_meridionalis_(Latham_1790),gaviao_caboclo,Savanna_Hawk,,,,,,,,,,,,,,0,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,1
,Genero,Urubitinga_Lafresnaye_1842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,Especie,Urubitinga_urubitinga_(Gmelin_1788),gaviao_preto,Great_Black_Hawk,,,,,,,1,,,,,,,1,,,,,,2,,,,,,,,2,,,,,,1,,,1,,,,,2,,,,,,,,,,,,,,0,5
,Genero,Rupornis_Kaup_1844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,Especie,Rupornis_magnirostris_(Gmelin_1788),gaviao_carijo,Roadside_Hawk,,,,,1,,,1,,,,,,2,1,,,,,,,,,,,,,1,,,,,2,1,1,1,2,,,,1,8,,,,,,,1,,,,,,,1,12
,Genero,Parabuteo_Ridgway_1874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,Especie,Parabuteo_unicinctus_(Temminck_1824),gaviao_asa_de_telha,Harris's_Hawk,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,0,,,,,,,1,,,,,,1,2,,,,,,,,,,,,,,0,3
,Ordem,Strigiformes_Wagler_1830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Familia,Strigidae_Leach_1820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Genero,Athene_Boie_1822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,Especie,Athene_cunicularia_(Molina_1782),coruja_buraqueira,Burrowing_Owl,2,,2,,,,,,,,,,,4,2,,10,,,,,,,,,,,12,,,4,,,,,,,,,,,4,,,4,,,,,,,,,,,4,24
,Ordem,Coraciiformes_Forbes_1844,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
,Familia,Alcedinidae_Rafinesque_1815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Genero,Megaceryle_Kaup_1848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,Especie,Megaceryle_torquata_(Linnaeus_1766),martim_pescador_grande,Ringed_Kingfisher,,1,,,,1,3,3,6,1,11,4,1,31,,,,,2,2,2,5,,1,14,,,26,,,,,2,,3,,2,1,7,,1,16,,,,,,,,1,,,6,,,7,80
,Genero,Chloroceryle_Kaup_1848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,Especie,Chloroceryle_amazona_(Latham_1790),martim_pescador_verde,Amazon_Kingfisher,,1,,3,,,1,,7,,7,5,,24,,,,,,,1,1,1,,8,,1,12,,,,,,,,1,3,,6,,,10,,,,,,,,,1,,5,,,6,52
99,Especie,Chloroceryle_aenea_(Pallas_1764),martim_pescador_miudo,American_Pygmy_Kingfisher,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,0,1
100,Especie,Chloroceryle_americana_(Gmelin_1788),martim_pescador_pequeno,Green_Kingfisher,,,,,,,,,1,,1,,,2,,,,,,1,,,,,2,,,3,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,0,6
,Ordem,Galbuliformes_Fürbringer_1888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Familia,Galbulidae_Vigors_1825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Genero,Galbula_Brisson_1760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,Especie,Galbula_ruficauda_Cuvier_1816,ariramba_de_cauda_ruiva,Rufous_tailed_Jacamar,,1,,,,,,,2,,,,,3,,,,,2,,,3,,,,,,5,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,0,9
,Familia,Bucconidae_Horsfield_1821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Subfamilia,Bucconinae_Horsfield_1821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Genero,Monasa_Vieillot_1816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,Especie,Monasa_nigrifrons_(Spix_1824),chora_chuva_preto,Black_fronted_Nunbird,1,,,,,,,2,1,,,,,4,,,,,,,,,,,,,,0,,,,,,2,,,,,,,,2,,,,,,,,,,,,,,0,6
,Ordem,Piciformes_Meyer_&_Wolf_1810,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Familia,Ramphastidae_Vigors_1825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Genero,Ramphastos_Linnaeus_1758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,Especie,Ramphastos_toco_Statius_Muller_1776,tucanucu,Toco_Toucan,,,,,,,2,1,,,,,,3,,,,,,,,,,,,,,0,,,,,,,,2,,,1,,,3,,,,,,,,2,,,,,,2,8
,Genero,Pteroglossus_Illiger_1811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
